383.479,0.996739,
410.609,0.994228,
454.654,0.994086,
497.641,0.991524,
521.244,0.983370,
536.026,0.955859,
548.326,0.903315,
559.561,0.837042,
567.274,0.773204,
571.114,0.715033,
575.657,0.654437,
580.205,0.600302,
585.096,0.531627,
593.139,0.433055,
601.556,0.368407,
611.754,0.334448,
621.965,0.323106,
644.506,0.306071,
667.747,0.281763,
690.988,0.258263,
712.827,0.245268,
741.717,0.239521,
765.324,0.237829,
791.394,0.231282,
817.465,0.224736,
839.660,0.218202,
859.383,0.202791,
872.061,0.192249,
